,pincode,state,latitude,longitude
482,413603,Maharashtra,17.7927,76.1584
483,413604,Maharashtra,17.8929,76.4566
484,413605,Maharashtra,17.7498,76.4726
485,413606,Maharashtra,17.8617,76.639
486,413607,Maharashtra,17.9484,76.8057
487,413608,Maharashtra,17.9976,76.3291
488,413623,Maharashtra,17.91,76.0092
489,413624,Maharashtra,17.9382,75.9082
490,413701,Maharashtra,18.608,74.7512
491,413702,Maharashtra,18.7271,74.5259
492,413703,Maharashtra,18.8443,74.5817
493,413704,Maharashtra,19.3093,74.729
494,413705,Maharashtra,19.3841,74.6515
495,413706,Maharashtra,19.4112,74.4934
496,413707,Maharashtra,19.7499,74.6572
497,413708,Maharashtra,19.8206,74.5876
498,413709,Maharashtra,19.6552,74.6632
499,413710,Maharashtra,19.5586,74.5346
500,413711,Maharashtra,19.5041,74.5007
501,413712,Maharashtra,19.5843,74.5192
502,413713,Maharashtra,19.6001,74.4679
503,413714,Maharashtra,19.6019,74.3655
504,413715,Maharashtra,19.5516,74.6199
505,413716,Maharashtra,19.4695,74.6387
506,413717,Maharashtra,19.5646,74.712
507,413718,Maharashtra,19.6814,74.7336
508,413719,Maharashtra,19.6869,74.5232
509,413720,Maharashtra,19.6155,74.6152
510,413721,Maharashtra,19.5245,74.7183
511,413722,Maharashtra,19.2973,74.6358
512,413723,Maharashtra,19.6899,74.6039
513,413725,Maharashtra,19.5857,74.8301
514,413726,Maharashtra,18.5894,74.6132
515,413728,Maharashtra,18.7738,74.6951
516,413736,Maharashtra,19.5511,74.4499
517,413737,Maharashtra,19.6114,74.5545
518,413738,Maharashtra,19.4657,74.3841
519,413739,Maharashtra,19.6181,74.7354
520,413801,Maharashtra,18.4304,74.6299
521,413802,Maharashtra,18.3682,74.5222
522,414001,Maharashtra,19.079,74.7327
523,414002,Maharashtra,19.1158,74.8435
524,414003,Maharashtra,19.1372,74.74
525,414005,Maharashtra,19.0043,74.6482
526,414006,Maharashtra,18.943,74.779
527,414101,Maharashtra,18.8088,74.8168
528,414102,Maharashtra,19.1434,75.2328
529,414103,Maharashtra,19.1328,74.5356
530,414105,Maharashtra,19.4091,74.8162
531,414106,Maharashtra,19.1851,74.9972
532,414110,Maharashtra,19.0455,74.7643
533,414111,Maharashtra,19.2017,74.6436
534,414113,Maharashtra,19.1429,75.4022
535,414201,Maharashtra,19.0203,74.8757
536,414202,Maharashtra,18.9603,75.0084
537,414203,Maharashtra,18.8512,75.2049
538,414204,Maharashtra,18.8363,75.5125
539,414205,Maharashtra,19.0125,75.5913
540,414208,Maharashtra,18.8513,75.1251
541,414301,Maharashtra,18.9413,74.5134
542,414302,Maharashtra,18.9703,74.4147
543,414303,Maharashtra,19.1004,74.3764
544,414304,Maharashtra,19.23,74.3702
545,414305,Maharashtra,19.0754,74.2406
546,414306,Maharashtra,18.9379,74.3028
547,414307,Maharashtra,19.0283,74.3103
548,414401,Maharashtra,18.6744,75.0307
549,414402,Maharashtra,18.5604,74.9691
550,414403,Maharashtra,18.4437,74.857
551,414501,Maharashtra,19.2987,75.0075
552,414502,Maharashtra,19.387,75.2484
553,414503,Maharashtra,19.359,75.4281
554,414504,Maharashtra,19.279,75.4687
555,414505,Maharashtra,19.2595,75.1258
556,414601,Maharashtra,19.2199,74.8024
557,414602,Maharashtra,19.4627,74.9282
558,414603,Maharashtra,19.5703,75.0169
559,414604,Maharashtra,19.423,75.0722
560,414605,Maharashtra,19.4774,75.0449
561,414606,Maharashtra,19.3764,74.943
562,414607,Maharashtra,19.3756,74.8532
563,414609,Maharashtra,19.4905,74.9634
564,414701,Maharashtra,18.5121,74.6121
565,415001,Maharashtra,17.6822,74.012
566,415002,Maharashtra,17.6392,73.976
567,415003,Maharashtra,17.6898,74.0613
568,415004,Maharashtra,17.6384,74.0801
569,415010,Maharashtra,17.7629,74.1343
570,415011,Maharashtra,17.775,74.0671
571,415012,Maharashtra,17.8107,73.8093
572,415013,Maharashtra,17.6358,73.8789
573,415014,Maharashtra,17.5052,73.9474
574,415015,Maharashtra,17.7564,73.9936
575,415019,Maharashtra,17.5741,74.1231
576,415020,Maharashtra,17.7936,73.9511
577,415021,Maharashtra,17.8157,74.1957
578,415022,Maharashtra,17.7335,73.903
579,415023,Maharashtra,17.716,74.3973
580,415101,Maharashtra,16.9222,73.8497
581,415102,Maharashtra,17.4512,74.5509
582,415103,Maharashtra,17.2383,74.0432
583,415104,Maharashtra,17.1975,74.1467
584,415105,Maharashtra,17.3229,74.2458
585,415106,Maharashtra,17.4244,74.1889
586,415107,Maharashtra,17.4998,74.1534
587,415108,Maharashtra,17.1815,74.2368
