Pincode,MMI State,latitude,longitude
534427,Andhra Pradesh,16.7444,81.251
534401,Andhra Pradesh,16.779,81.3146
534425,Andhra Pradesh,16.851,81.2645
534448,Andhra Pradesh,17.2805,81.3269
534311,Andhra Pradesh,17.2687,81.439
534455,Andhra Pradesh,17.165,81.2315
534315,Andhra Pradesh,17.3418,81.5639
521214,Andhra Pradesh,17.0144,80.8661
521213,Andhra Pradesh,16.9093,80.9071
534460,Andhra Pradesh,17.1194,80.9702
534461,Andhra Pradesh,17.0112,81.0325
534450,Andhra Pradesh,16.7755,81.1273
534432,Andhra Pradesh,16.7959,81.1766
534442,Andhra Pradesh,16.7251,81.1951
534426,Andhra Pradesh,16.9296,81.2591
534451,Andhra Pradesh,17.0444,81.275
534452,Andhra Pradesh,16.9135,81.158
534002,Andhra Pradesh,16.6783,81.0934
534004,Andhra Pradesh,16.65,81.1965
534001,Andhra Pradesh,16.6993,81.1123
534003,Andhra Pradesh,16.7481,81.0461
534005,Andhra Pradesh,16.7298,81.1318
534006,Andhra Pradesh,16.7116,81.0919
534007,Andhra Pradesh,16.7059,81.0297
534197,Andhra Pradesh,16.7214,81.5273
534186,Andhra Pradesh,16.6622,81.5192
534196,Andhra Pradesh,16.7574,81.5353
534198,Andhra Pradesh,16.6962,81.4259
534134,Andhra Pradesh,16.7037,81.5869
534456,Andhra Pradesh,17.2184,81.1604
534447,Andhra Pradesh,17.1179,81.2831
521345,Andhra Pradesh,16.5157,81.1475
521340,Andhra Pradesh,16.6047,81.2934
521333,Andhra Pradesh,16.5489,81.2374
521343,Andhra Pradesh,16.4571,81.2244
521344,Andhra Pradesh,16.4597,81.3311
534449,Andhra Pradesh,16.9963,81.1866
507121,Andhra Pradesh,17.764,81.3047
534462,Andhra Pradesh,16.9353,81.0276
521325,Andhra Pradesh,16.4152,81.0935
521326,Andhra Pradesh,16.5451,81.1051
521329,Andhra Pradesh,16.3899,81.1632
521323,Andhra Pradesh,16.4448,81.0443
521207,Andhra Pradesh,16.8008,80.9695
534195,Andhra Pradesh,16.7411,81.3968
534406,Andhra Pradesh,16.7903,81.3969
521202,Andhra Pradesh,16.8137,80.8432
521201,Andhra Pradesh,16.7947,80.8566
521111,Andhra Pradesh,16.7297,80.9214
521105,Andhra Pradesh,16.6711,80.9754
534437,Andhra Pradesh,16.6203,81.0361
534475,Andhra Pradesh,16.8249,81.0556
534435,Andhra Pradesh,16.85,81.1133
534467,Andhra Pradesh,17.0838,81.1177
534411,Andhra Pradesh,16.845,81.4377
534416,Andhra Pradesh,16.8208,81.3615
534165,Andhra Pradesh,16.7666,81.4563
507135,Andhra Pradesh,17.5744,81.396
522213,Andhra Pradesh,16.2615,80.5384
522305,Andhra Pradesh,16.3902,80.6482
522330,Andhra Pradesh,16.342,80.5917
522307,Andhra Pradesh,16.2844,80.6041
522017,Andhra Pradesh,16.2245,80.418
522005,Andhra Pradesh,16.2915,80.377
522009,Andhra Pradesh,16.3303,80.3641
522019,Andhra Pradesh,16.205,80.3325
522034,Andhra Pradesh,16.3723,80.4274
522509,Andhra Pradesh,16.324,80.4967
522112,Andhra Pradesh,16.0695,80.4182
522124,Andhra Pradesh,16.0579,80.5252
522235,Andhra Pradesh,16.0773,80.2944
522306,Andhra Pradesh,16.3095,80.673
522304,Andhra Pradesh,16.3073,80.7248
522308,Andhra Pradesh,16.3745,80.7062
522503,Andhra Pradesh,16.4908,80.5155
522302,Andhra Pradesh,16.4246,80.5961
522303,Andhra Pradesh,16.4474,80.6423
522502,Andhra Pradesh,16.4608,80.5944
522438,Andhra Pradesh,16.3685,80.2862
522401,Andhra Pradesh,16.4183,80.2852
522508,Andhra Pradesh,16.3908,80.512
522510,Andhra Pradesh,16.3764,80.5279
522015,Andhra Pradesh,16.1273,80.3108
522616,Andhra Pradesh,16.0793,80.1751
522529,Andhra Pradesh,16.3157,80.2041
522549,Andhra Pradesh,16.2551,80.1394
522316,Andhra Pradesh,16.1306,80.5006
522233,Andhra Pradesh,16.2281,80.2524
522236,Andhra Pradesh,16.4658,80.4367
522018,Andhra Pradesh,16.4083,80.358
522016,Andhra Pradesh,16.4981,80.3684
522201,Andhra Pradesh,16.2455,80.6349
522202,Andhra Pradesh,16.2686,80.6507
522237,Andhra Pradesh,16.5478,80.4555
